siren;nom;type_activite;type_hebergement;type_restauration;complement_adresse;numeroVoie;typeVoie;libelleVoie;codeCommune;codePostal;Commune;x;y;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
314303587;CAFE DE LA PLACE;restauration;;restaurant;;;PL;CARNOT;11049;11150;BRAM;;;43.243713;2.115285;Place Carnot 11150 Bram;0.52;street;11049_XXXX_a847ac;;Place Carnot;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
380233049;L'AUBERGE DU DOMINICAIN;restauration;;restaurant;RTE NATIONALE 119;14;AV;DU LAURAGAIS;11254;11290;MONTREAL;;;43.20037;2.141334;Avenue du Lauragais 11290 Montréal;0.45;street;11254_XXXX_f99215;;Avenue du Lauragais;;11290;Montréal;11, Aude, Occitanie (Languedoc-Roussillon);11254
398080838;VILLELONGUE ACCUEIL;hebergement;chambre_hote;;;;;ABBAYE DE VILLELONGUE;11357;11170;SAINT MARTIN LE VIEIL;;;43.305082;2.167433;Ham de Villelongue 11170 Saint-Martin-le-Vieil;0.64;locality;11357_XXXX_dfeff4;;Ham de Villelongue;;11170;Saint-Martin-le-Vieil;11, Aude, Occitanie (Languedoc-Roussillon);11357
400668778;DOMAINE DE JOUCLA;hebergement;chambre_hote;;;;;DOMAINE DE JOUCLA;11009;11170;ALZONNE;;;43.258097;2.160873;Domaine de Cayrol 11170 Alzonne;0.46;locality;11009_XXXX_57711e;;Domaine de Cayrol;;11170;Alzonne;11, Aude, Occitanie (Languedoc-Roussillon);11009
413704982;LA TABLE FERMIERE;restauration;;restaurant;;2;;HAMEAU DE VILLELONGUE;11357;11170;SAINT MARTIN LE VIEIL;;;43.305082;2.167433;Ham de Villelongue 11170 Saint-Martin-le-Vieil;0.7;locality;11357_XXXX_dfeff4;;Ham de Villelongue;;11170;Saint-Martin-le-Vieil;11, Aude, Occitanie (Languedoc-Roussillon);11357
414990911;VILLELONGUE COTE JARDINS;hebergement;chambre-hote;;LIEU DIT VILLELONGUE;;;;11357;11170;SAINT MARTIN LE VIEIL;;;43.305082;2.167433;Ham de Villelongue 11170 Saint-Martin-le-Vieil;0.6;locality;11357_XXXX_dfeff4;;Ham de Villelongue;;11170;Saint-Martin-le-Vieil;11, Aude, Occitanie (Languedoc-Roussillon);11357
482965191;LE CLOS SAINT LOUP;restauration/hebergement;hotel;restaurant;;69;AV;DE RAZES;11049;11150;BRAM;;;43.239624;2.115564;Avenue du Razès 11150 Bram;0.49;street;11049_XXXX_ea16d3;;Avenue du Razès;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
493819460;LE PETIT GOURMAND;restauration;;restaurant;;3;RUE;JOLIOT CURIE;11049;11150;BRAM;;;43.242257;2.113609;Rue Joliot Curie 11150 Bram;0.69;street;11049_0129_43bc3f;;Rue Joliot Curie;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
501427108;VILLA LES CEDRES;hebergement;chambre-hote;;;2;RUE;DES ECOLES;11009;11170;ALZONNE;;;43.252589;2.17846;Rue des Écoles 11170 Alzonne;0.71;street;11009_0039_cb4c68;;Rue des Écoles;;11170;Alzonne;11, Aude, Occitanie (Languedoc-Roussillon);11009
502600679;AUX DEUX ACACIAS;restauration;;restaurant;;;RTE;NATIONALE;11434;11150;VILLEPINTE;;;43.280983;2.086905;Route Départementale 6113 11150 Villepinte;0.61;street;11434_XXXX_772961;;Route Départementale 6113;;11150;Villepinte;11, Aude, Occitanie (Languedoc-Roussillon);11434
